DISNO,STATEA,NAMEA,STATEB,NAMEB,STRTDAY,STRTMNTH,STRTYR,YEAR,ENDDAY,ENDMNTH,ENDYEAR,OUTCOME,SETTLMNT,FATLEV,HIGHACT,HIHOST,RECIP,NOINIT,NOTARG,STDAYA,STMNTHA,STYEARA,ENDDAYA,ENDMNTHA,ENDYEARA,SIDEAA,REVSTATA,REVTYPEA,FATALEVA,HIGHMCAA,HIHOSTA,ORIGNATA,STDAYB,STMNTHB,STYEARB,ENDDAYB,ENDMNTHB,ENDYEARB,SIDEAB,REVSTATEB,REVTYPEB,FATALEVB,HIGHMCAB,HIHOSTB,ORIGNATB,ROLEA,ROLEB,WAR,Durindx,Cumdurat,Duration,MID3HIact,MID3HIA,MID3HIB
11,255,GMY,305,AUS,11,3,1938,1938,12,3,1938,4,1,0,16,4,0,1,1,11,3,1938,12,3,1938,1,1,1,0,16,4,1,11,3,1938,12,3,1938,0,0,0,0,1,1,1,1,3,0,1,2,2,14,14,0
12,200,UKG,255,GMY,26,8,1938,1938,30,9,1938,4,1,0,19,4,1,1,5,26,8,1938,30,9,1938,0,0,0,0,8,3,0,26,8,1938,30,9,1938,1,1,1,0,19,4,1,4,1,0,1,36,36,16,7,16
12,211,BEL,255,GMY,7,9,1938,1938,30,9,1938,4,1,0,19,4,1,1,5,7,9,1938,30,9,1938,0,0,0,0,7,3,0,7,9,1938,30,9,1938,1,1,1,0,19,4,1,4,1,0,1,24,24,16,7,16
12,220,FRN,255,GMY,7,9,1938,1938,30,9,1938,4,1,0,19,4,1,1,5,7,9,1938,30,9,1938,0,0,0,0,12,3,0,7,9,1938,30,9,1938,1,1,1,0,19,4,1,4,1,0,1,24,24,16,10,16
12,255,GMY,315,CZE,11,3,1938,1938,30,9,1938,4,1,0,19,4,1,1,5,11,3,1938,30,9,1938,1,1,1,0,19,4,1,11,3,1938,30,9,1938,0,0,0,0,19,4,1,1,3,0,1,204,204,16,16,16
12,255,GMY,365,RUS,16,9,1938,1938,30,9,1938,4,1,0,19,4,1,1,5,16,9,1938,30,9,1938,1,1,1,0,19,4,1,16,9,1938,30,9,1938,0,0,0,0,7,3,0,1,4,0,1,15,15,16,16,7
13,2,USA,740,JPN,20,7,1863,1863,20,7,1863,1,2,-9,2,2,0,3,1,20,7,1863,20,7,1863,1,0,0,0,2,2,0,20,7,1863,20,7,1863,0,0,0,-9,1,1,1,2,3,0,1,1,1,1,1,0
13,200,UKG,740,JPN,6,4,1863,1863,17,8,1863,1,2,-9,17,4,0,3,1,6,4,1863,17,8,1863,1,1,2,-9,17,4,1,6,4,1863,17,8,1863,0,0,0,-9,1,1,1,1,3,0,1,134,134,15,15,0
13,220,FRN,740,JPN,20,7,1863,1863,20,7,1863,1,2,-9,2,2,0,3,1,20,7,1863,20,7,1863,1,0,0,0,2,2,0,20,7,1863,20,7,1863,0,0,0,-9,1,1,1,2,3,0,1,1,1,1,1,0
14,200,UKG,640,TUR,15,10,1895,1895,31,12,1895,4,3,0,8,3,0,1,1,15,10,1895,31,12,1895,1,1,2,0,8,3,1,15,10,1895,31,12,1895,0,0,0,0,1,1,1,1,3,0,1,78,78,7,7,0
15,2,USA,200,UKG,1,1,1839,1839,23,3,1839,6,1,0,17,4,1,1,1,1,1,1839,23,3,1839,1,1,1,0,7,3,1,1,1,1839,23,3,1839,0,1,1,0,17,4,1,1,3,0,1,82,82,15,7,15
16,200,UKG,730,KOR,25,12,1897,1897,5,2,1898,0,0,0,8,3,0,2,2,25,12,1897,5,2,1898,1,1,2,0,8,3,1,25,12,1897,5,2,1898,0,0,0,0,1,1,1,1,3,0,1,6,6,7,7,0
16,200,UKG,730,KOR,25,12,1897,1898,5,2,1898,4,3,0,8,3,0,2,2,25,12,1897,5,2,1898,1,1,2,0,8,3,1,25,12,1897,5,2,1898,0,0,0,0,1,1,1,1,3,0,2,42,36,7,7,0
16,200,UKG,740,JPN,25,12,1897,1897,5,2,1898,0,0,0,8,3,0,2,2,25,12,1897,5,2,1898,0,0,0,0,1,1,1,25,12,1897,5,2,1898,1,1,2,0,8,3,1,3,1,0,1,6,6,7,0,7
16,200,UKG,740,JPN,25,12,1897,1898,5,2,1898,4,3,0,8,3,0,2,2,25,12,1897,5,2,1898,0,0,0,0,1,1,1,25,12,1897,5,2,1898,1,1,2,0,8,3,1,3,1,0,2,42,36,7,0,7
16,365,RUS,730,KOR,25,12,1897,1897,5,2,1898,0,0,0,8,3,0,2,2,25,12,1897,5,2,1898,1,1,2,0,8,3,1,25,12,1897,5,2,1898,0,0,0,0,1,1,1,1,3,0,1,6,6,7,7,0
16,365,RUS,730,KOR,25,12,1897,1898,5,2,1898,4,3,0,8,3,0,2,2,25,12,1897,5,2,1898,1,1,2,0,8,3,1,25,12,1897,5,2,1898,0,0,0,0,1,1,1,1,3,0,2,42,36,7,7,0
16,365,RUS,740,JPN,25,12,1897,1897,5,2,1898,0,0,0,8,3,0,2,2,25,12,1897,5,2,1898,0,0,0,0,1,1,1,25,12,1897,5,2,1898,1,1,2,0,8,3,1,3,1,0,1,6,6,7,0,7
16,365,RUS,740,JPN,25,12,1897,1898,5,2,1898,4,3,0,8,3,0,2,2,25,12,1897,5,2,1898,0,0,0,0,1,1,1,25,12,1897,5,2,1898,1,1,2,0,8,3,1,3,1,0,2,42,36,7,0,7
19,300,AUH,325,ITA,15,1,1848,1848,23,3,1849,0,0,0,22,5,1,1,3,15,1,1848,23,3,1849,1,0,0,0,22,5,1,15,1,1848,23,3,1849,0,1,1,0,22,5,1,1,3,1,1,351,351,20,20,20
19,300,AUH,325,ITA,15,1,1848,1849,23,3,1849,5,1,6,22,5,1,1,3,15,1,1848,23,3,1849,1,0,0,6,22,5,1,15,1,1848,23,3,1849,0,1,1,6,22,5,1,1,3,1,2,433,82,20,20,20
19,300,AUH,332,MOD,1,3,1848,1848,9,8,1848,5,1,6,22,5,1,1,3,1,3,1848,9,8,1848,1,0,0,6,22,5,1,1,3,1848,9,8,1848,0,0,0,2,22,5,0,1,4,1,1,162,162,20,20,20
19,300,AUH,337,TUS,1,3,1848,1848,9,8,1848,5,1,6,22,5,1,1,3,1,3,1848,9,8,1848,1,0,0,6,22,5,1,1,3,1848,9,8,1848,0,0,0,2,22,5,0,1,4,1,1,162,162,20,20,20
20,365,RUS,630,IRN,18,11,1945,1945,9,5,1946,0,0,0,7,3,0,1,1,18,11,1945,9,5,1946,1,1,2,0,7,3,1,18,11,1945,9,5,1946,0,0,0,0,1,1,1,1,3,0,1,43,43,7,7,0
20,365,RUS,630,IRN,18,11,1945,1946,9,5,1946,3,1,0,7,3,0,1,1,18,11,1945,9,5,1946,1,1,2,0,7,3,1,18,11,1945,9,5,1946,0,0,0,0,1,1,1,1,3,0,2,172,129,7,7,0
21,300,AUH,345,YUG,21,11,1912,1912,3,12,1912,5,3,0,12,3,0,1,2,21,11,1912,3,12,1912,1,1,2,0,12,3,1,21,11,1912,3,12,1912,0,1,1,0,1,1,1,1,3,0,1,13,13,10,10,0
21,300,AUH,365,RUS,21,11,1912,1912,3,12,1912,5,3,0,12,3,0,1,2,21,11,1912,3,12,1912,1,1,2,0,12,3,1,21,11,1912,3,12,1912,0,1,2,0,1,1,1,1,3,0,1,13,13,10,10,0
22,365,RUS,367,LAT,9,6,1940,1940,17,6,1940,1,2,-9,19,4,1,1,1,9,6,1940,17,6,1940,1,1,1,-9,19,4,1,9,6,1940,17,6,1940,0,0,0,-9,19,4,1,1,3,0,1,9,9,16,16,16
23,365,RUS,366,EST,1,3,1939,1939,18,10,1939,4,1,0,15,4,0,1,1,1,3,1939,18,10,1939,1,1,2,0,15,4,1,1,3,1939,18,10,1939,0,0,0,0,1,1,1,1,3,0,1,232,232,13,13,0
25,200,UKG,210,NTH,15,8,1831,1831,30,9,1831,5,3,0,8,3,1,2,3,15,8,1831,30,9,1831,0,0,0,0,8,3,0,15,8,1831,30,9,1831,1,1,1,0,1,1,1,4,1,0,1,47,47,7,7,0
25,210,NTH,211,BEL,2,8,1831,1831,2,2,1832,0,0,0,18,4,1,2,3,2,8,1831,2,2,1832,1,1,1,0,18,4,1,2,8,1831,2,2,1832,0,0,0,0,18,4,1,1,3,0,1,151,151,17,17,17
25,210,NTH,211,BEL,2,8,1831,1832,2,2,1832,5,3,-9,18,4,1,2,3,2,8,1831,2,2,1832,1,1,1,-9,18,4,1,2,8,1831,2,2,1832,0,0,0,-9,18,4,1,1,3,0,2,184,33,17,17,17
25,210,NTH,220,FRN,15,8,1831,1831,30,9,1831,5,3,-9,19,4,1,2,3,15,8,1831,30,9,1831,1,1,1,-9,18,4,1,15,8,1831,30,9,1831,0,0,0,-9,18,4,0,1,4,0,1,47,47,16,17,17
25,220,FRN,255,GER,15,8,1831,1831,30,9,1831,5,3,0,2,2,1,2,3,15,8,1831,30,9,1831,0,0,0,0,1,1,0,15,8,1831,30,9,1831,1,1,1,0,2,2,0,4,2,0,1,47,47,1,0,1
26,2,USA,365,RUS,21,3,1948,1948,25,7,1949,0,0,0,19,4,1,1,3,21,3,1948,25,7,1949,0,0,0,0,15,4,1,21,3,1948,25,7,1949,1,1,1,0,19,4,1,3,1,0,1,285,285,16,13,16
26,2,USA,365,RUS,21,3,1948,1949,25,7,1949,5,3,0,19,4,1,1,3,21,3,1948,25,7,1949,0,0,0,0,15,4,1,21,3,1948,25,7,1949,1,1,1,0,19,4,1,3,1,0,2,491,206,16,13,16
26,200,UKG,365,RUS,21,3,1948,1948,25,7,1949,0,0,0,19,4,1,1,3,21,3,1948,25,7,1949,0,0,0,0,15,4,1,21,3,1948,25,7,1949,1,1,1,0,19,4,1,3,1,0,1,285,285,16,13,16
26,200,UKG,365,RUS,21,3,1948,1949,25,7,1949,5,3,0,19,4,1,1,3,21,3,1948,25,7,1949,0,0,0,0,15,4,1,21,3,1948,25,7,1949,1,1,1,0,19,4,1,3,1,0,2,491,206,16,13,16
26,220,FRN,365,RUS,21,3,1948,1948,25,7,1949,0,0,0,19,4,1,1,3,21,3,1948,25,7,1949,0,0,0,0,15,4,1,21,3,1948,25,7,1949,1,1,1,0,19,4,1,3,1,0,1,285,285,16,13,16
26,220,FRN,365,RUS,21,3,1948,1949,25,7,1949,5,3,0,19,4,1,1,3,21,3,1948,25,7,1949,0,0,0,0,15,4,1,21,3,1948,25,7,1949,1,1,1,0,19,4,1,3,1,0,2,491,206,16,13,16
27,2,USA,265,GDR,13,8,1961,1961,28,10,1961,5,3,0,18,4,1,4,4,13,8,1961,28,10,1961,1,0,0,0,12,3,1,13,8,1961,28,10,1961,0,1,2,0,15,4,0,1,4,0,1,77,77,17,10,13
27,2,USA,290,POL,18,10,1961,1961,28,10,1961,5,3,0,18,3,1,4,4,18,10,1961,28,10,1961,1,0,0,0,12,3,1,18,10,1961,28,10,1961,0,0,0,0,7,3,0,1,4,0,1,11,11,17,10,7
27,2,USA,315,CZE,18,10,1961,1961,28,10,1961,5,3,0,18,3,1,4,4,18,10,1961,28,10,1961,1,0,0,0,12,3,1,18,10,1961,28,10,1961,0,0,0,0,7,3,0,1,4,0,1,11,11,17,10,7
27,2,USA,365,RUS,25,7,1961,1961,28,10,1961,5,3,0,18,4,1,4,4,25,7,1961,28,10,1961,1,0,0,0,12,3,1,25,7,1961,28,10,1961,0,1,2,0,15,4,1,1,3,0,1,96,96,17,10,13
27,200,UKG,265,GDR,13,8,1961,1961,28,10,1961,5,3,0,18,4,1,4,4,13,8,1961,28,10,1961,1,0,0,0,7,3,0,13,8,1961,28,10,1961,0,1,2,0,15,4,0,2,4,0,1,77,77,17,7,13
27,200,UKG,290,POL,18,10,1961,1961,28,10,1961,5,3,0,18,3,1,4,4,18,10,1961,28,10,1961,1,0,0,0,7,3,0,18,10,1961,28,10,1961,0,0,0,0,7,3,0,2,4,0,1,11,11,17,7,7
27,200,UKG,315,CZE,18,10,1961,1961,28,10,1961,5,3,0,18,3,1,4,4,18,10,1961,28,10,1961,1,0,0,0,7,3,0,18,10,1961,28,10,1961,0,0,0,0,7,3,0,2,4,0,1,11,11,17,7,7
27,200,UKG,365,RUS,13,8,1961,1961,28,10,1961,5,3,0,18,4,1,4,4,13,8,1961,28,10,1961,1,0,0,0,7,3,0,13,8,1961,28,10,1961,0,1,2,0,15,4,1,2,3,0,1,77,77,17,7,13
27,220,FRN,265,GDR,13,8,1961,1961,28,10,1961,5,3,0,18,4,1,4,4,13,8,1961,28,10,1961,1,0,0,0,7,3,0,13,8,1961,28,10,1961,0,1,2,0,15,4,0,2,4,0,1,77,77,17,7,13
27,220,FRN,290,POL,18,10,1961,1961,28,10,1961,5,3,0,18,3,1,4,4,18,10,1961,28,10,1961,1,0,0,0,7,3,0,18,10,1961,28,10,1961,0,0,0,0,7,3,0,2,4,0,1,11,11,17,7,7
27,220,FRN,315,CZE,18,10,1961,1961,28,10,1961,5,3,0,18,3,1,4,4,18,10,1961,28,10,1961,1,0,0,0,7,3,0,18,10,1961,28,10,1961,0,0,0,0,7,3,0,2,4,0,1,11,11,17,7,7
27,220,FRN,365,RUS,13,8,1961,1961,28,10,1961,5,3,0,18,4,1,4,4,13,8,1961,28,10,1961,1,0,0,0,7,3,0,13,8,1961,28,10,1961,0,1,2,0,15,4,1,2,3,0,1,77,77,17,7,13
27,260,GFR,265,GDR,13,8,1961,1961,28,10,1961,5,3,0,18,4,1,4,4,13,8,1961,28,10,1961,1,0,0,0,18,4,0,13,8,1961,28,10,1961,0,1,2,0,15,4,0,2,4,0,1,77,77,17,17,13
27,260,GFR,290,POL,18,10,1961,1961,28,10,1961,5,3,0,18,4,1,4,4,18,10,1961,28,10,1961,1,0,0,0,18,4,0,18,10,1961,28,10,1961,0,0,0,0,7,3,0,2,4,0,1,11,11,17,17,7
27,260,GFR,315,CZE,18,10,1961,1961,28,10,1961,5,3,0,18,4,1,4,4,18,10,1961,28,10,1961,1,0,0,0,18,4,0,18,10,1961,28,10,1961,0,0,0,0,7,3,0,2,4,0,1,11,11,17,17,7
27,260,GFR,365,RUS,13,8,1961,1961,28,10,1961,5,3,0,18,4,1,4,4,13,8,1961,28,10,1961,1,0,0,0,18,4,0,13,8,1961,28,10,1961,0,1,2,0,15,4,1,2,3,0,1,77,77,17,17,13
28,220,FRN,616,TUN,19,7,1961,1961,5,9,1961,6,1,3,18,4,1,1,1,19,7,1961,5,9,1961,0,0,0,1,18,4,1,19,7,1961,5,9,1961,1,1,2,3,15,4,1,3,1,0,1,49,49,17,17,13
30,300,AUH,345,YUG,6,10,1908,1908,31,3,1909,0,0,0,18,4,1,1,1,6,10,1908,31,3,1909,0,0,0,0,18,4,1,6,10,1908,31,3,1909,1,1,1,0,18,4,1,3,1,0,1,86,86,17,17,17
30,300,AUH,345,YUG,6,10,1908,1909,31,3,1909,4,1,-9,18,4,1,1,1,6,10,1908,31,3,1909,0,0,0,-9,18,4,1,6,10,1908,31,3,1909,1,1,1,-9,18,4,1,3,1,0,2,176,90,17,17,17
31,2,USA,710,CHN,30,5,1900,1900,16,8,1900,1,2,6,22,5,1,8,1,30,5,1900,16,8,1900,1,0,0,2,22,5,1,30,5,1900,16,8,1900,0,0,0,6,22,5,1,1,3,1,1,79,79,20,20,20
31,200,UKG,710,CHN,30,5,1900,1900,16,8,1900,1,2,6,22,5,1,8,1,30,5,1900,16,8,1900,1,1,2,2,22,5,1,30,5,1900,16,8,1900,0,0,0,6,22,5,1,1,3,1,1,79,79,20,20,20
31,220,FRN,710,CHN,30,5,1900,1900,16,8,1900,1,2,6,22,5,1,8,1,30,5,1900,16,8,1900,1,0,0,2,22,5,1,30,5,1900,16,8,1900,0,0,0,6,22,5,1,1,3,1,1,79,79,20,20,20
31,255,GMY,710,CHN,30,5,1900,1900,16,8,1900,1,2,6,19,4,1,8,1,30,5,1900,16,8,1900,1,0,0,2,19,4,1,30,5,1900,16,8,1900,0,0,0,6,18,4,1,1,3,0,1,79,79,16,16,17
31,300,AUH,710,CHN,30,5,1900,1900,16,8,1900,1,2,6,19,4,1,8,1,30,5,1900,16,8,1900,1,0,0,1,19,4,1,30,5,1900,16,8,1900,0,0,0,6,18,4,1,1,3,0,1,79,79,16,16,17
31,325,ITA,710,CHN,30,5,1900,1900,16,8,1900,1,2,6,19,4,1,8,1,30,5,1900,16,8,1900,1,0,0,1,19,4,1,30,5,1900,16,8,1900,0,0,0,6,18,4,1,1,3,0,1,79,79,16,16,17
31,365,RUS,710,CHN,30,5,1900,1900,16,8,1900,1,2,6,22,5,1,8,1,30,5,1900,16,8,1900,1,1,2,4,22,5,1,30,5,1900,16,8,1900,0,0,0,6,22,5,1,1,3,1,1,79,79,20,20,20
31,710,CHN,740,JPN,30,5,1900,1900,16,8,1900,1,2,6,22,5,1,8,1,30,5,1900,16,8,1900,0,0,0,6,22,5,1,30,5,1900,16,8,1900,1,1,2,5,22,5,1,3,1,1,1,79,79,20,20,20
38,2,USA,200,UKG,29,12,1837,1837,5,1,1838,0,0,0,19,4,1,1,1,29,12,1837,5,1,1838,0,0,0,0,7,3,1,29,12,1837,5,1,1838,1,1,2,0,19,4,1,3,1,0,1,2,2,16,7,16
38,2,USA,200,UKG,29,12,1837,1838,5,1,1838,5,3,0,19,4,1,1,1,29,12,1837,5,1,1838,0,0,0,0,7,3,1,29,12,1837,5,1,1838,1,1,2,0,19,4,1,3,1,0,2,7,5,16,7,16
40,710,CHN,740,JPN,10,4,1928,1928,18,11,1928,4,1,3,18,4,1,1,1,10,4,1928,18,11,1928,0,0,0,3,18,4,1,10,4,1928,18,11,1928,1,0,0,1,16,4,1,3,1,0,1,223,223,17,17,14
41,365,RUS,710,CHN,27,5,1929,1929,3,12,1929,8,4,6,22,5,1,1,1,27,5,1929,3,12,1929,0,0,0,3,22,5,1,27,5,1929,3,12,1929,1,0,0,6,22,5,1,3,1,1,1,191,191,20,20,20
43,255,GMY,710,CHN,14,11,1897,1897,6,3,1898,0,0,0,18,4,1,1,1,14,11,1897,6,3,1898,1,1,2,0,18,4,1,14,11,1897,6,3,1898,0,0,0,0,18,4,1,1,3,0,1,47,47,17,17,17
43,255,GMY,710,CHN,14,11,1897,1898,6,3,1898,1,1,0,18,4,1,1,1,14,11,1897,6,3,1898,1,1,2,0,18,4,1,14,11,1897,6,3,1898,0,0,0,0,18,4,1,1,3,0,2,112,65,17,17,17
50,2,USA,365,RUS,4,8,1954,1954,8,8,1954,5,3,2,8,3,1,3,2,4,8,1954,8,8,1954,1,1,1,0,8,3,1,4,8,1954,8,8,1954,0,1,1,0,8,3,0,1,4,0,1,5,5,7,7,7
50,2,USA,710,CHN,11,2,1953,1953,19,1,1956,0,0,0,8,3,1,3,2,11,2,1953,19,1,1956,1,1,1,0,8,3,1,11,2,1953,19,1,1956,0,1,1,0,8,3,1,1,3,0,1,323,323,7,7,7
50,2,USA,710,CHN,11,2,1953,1954,19,1,1956,0,0,0,8,3,1,3,2,11,2,1953,19,1,1956,1,1,1,0,8,3,1,11,2,1953,19,1,1956,0,1,1,0,8,3,1,1,3,0,2,688,365,7,7,7
50,2,USA,710,CHN,11,2,1953,1955,19,1,1956,0,0,0,8,3,1,3,2,11,2,1953,19,1,1956,1,1,1,0,8,3,1,11,2,1953,19,1,1956,0,1,1,0,8,3,1,1,3,0,3,1053,365,7,7,7
50,2,USA,710,CHN,11,2,1953,1956,19,1,1956,5,3,2,8,3,1,3,2,11,2,1953,19,1,1956,1,1,1,0,8,3,1,11,2,1953,19,1,1956,0,1,1,2,8,3,1,1,3,0,4,1072,19,7,7,7
50,365,RUS,732,ROK,4,2,1954,1954,8,8,1954,5,3,0,8,3,1,3,2,4,2,1954,8,8,1954,0,1,1,0,8,3,0,4,2,1954,8,8,1954,1,1,1,0,2,2,0,4,2,0,1,186,186,7,7,1
50,710,CHN,713,TAW,11,2,1953,1953,19,1,1956,0,0,0,19,4,1,3,2,11,2,1953,19,1,1956,0,1,1,0,18,4,1,11,2,1953,19,1,1956,1,1,1,0,19,4,1,3,1,0,1,323,323,16,17,16
50,710,CHN,713,TAW,11,2,1953,1954,19,1,1956,0,0,0,19,4,1,3,2,11,2,1953,19,1,1956,0,1,1,0,18,4,1,11,2,1953,19,1,1956,1,1,1,0,19,4,1,3,1,0,2,688,365,16,17,16
50,710,CHN,713,TAW,11,2,1953,1955,19,1,1956,0,0,0,19,4,1,3,2,11,2,1953,19,1,1956,0,1,1,0,18,4,1,11,2,1953,19,1,1956,1,1,1,0,19,4,1,3,1,0,3,1053,365,16,17,16
50,710,CHN,713,TAW,11,2,1953,1956,19,1,1956,5,3,2,19,4,1,3,2,11,2,1953,19,1,1956,0,1,1,2,18,4,1,11,2,1953,19,1,1956,1,1,1,2,19,4,1,3,1,0,4,1072,19,16,17,16
50,710,CHN,732,ROK,13,2,1953,1953,13,2,1953,5,3,2,18,4,1,3,2,13,2,1953,13,2,1953,0,1,1,2,18,4,1,13,2,1953,13,2,1953,1,1,1,0,2,2,0,3,2,0,1,1,1,17,17,1
51,2,USA,710,CHN,30,9,1950,1950,27,7,1953,0,0,0,22,5,1,2,15,30,9,1950,27,7,1953,0,0,0,0,22,5,0,30,9,1950,27,7,1953,1,0,0,0,22,5,0,4,2,1,1,92,92,20,20,20
51,2,USA,710,CHN,30,9,1950,1951,27,7,1953,0,0,0,22,5,1,2,15,30,9,1950,27,7,1953,0,0,0,0,22,5,0,30,9,1950,27,7,1953,1,0,0,0,22,5,0,4,2,1,2,457,365,20,20,20
51,2,USA,710,CHN,30,9,1950,1952,27,7,1953,0,0,0,22,5,1,2,15,30,9,1950,27,7,1953,0,0,0,0,22,5,0,30,9,1950,27,7,1953,1,0,0,0,22,5,0,4,2,1,3,822,365,20,20,20
51,2,USA,710,CHN,30,9,1950,1953,27,7,1953,5,1,6,22,5,1,2,15,30,9,1950,27,7,1953,0,0,0,6,22,5,0,30,9,1950,27,7,1953,1,0,0,6,22,5,0,4,2,1,4,1030,208,20,20,20
51,2,USA,731,PRK,27,6,1950,1950,27,7,1953,0,0,0,22,5,1,2,15,27,6,1950,27,7,1953,0,0,0,0,22,5,0,27,6,1950,27,7,1953,1,1,1,0,22,5,1,4,1,1,1,187,187,20,20,20
51,2,USA,731,PRK,27,6,1950,1951,27,7,1953,0,0,0,22,5,1,2,15,27,6,1950,27,7,1953,0,0,0,0,22,5,0,27,6,1950,27,7,1953,1,1,1,0,22,5,1,4,1,1,2,552,365,20,20,20
51,2,USA,731,PRK,27,6,1950,1952,27,7,1953,0,0,0,22,5,1,2,15,27,6,1950,27,7,1953,0,0,0,0,22,5,0,27,6,1950,27,7,1953,1,1,1,0,22,5,1,4,1,1,3,917,365,20,20,20
51,2,USA,731,PRK,27,6,1950,1953,27,7,1953,5,1,6,22,5,1,2,15,27,6,1950,27,7,1953,0,0,0,6,22,5,0,27,6,1950,27,7,1953,1,1,1,6,22,5,1,4,1,1,4,1125,208,20,20,20
51,20,CAN,710,CHN,30,9,1950,1950,27,7,1953,0,0,0,22,5,1,2,15,30,9,1950,27,7,1953,0,0,0,0,22,5,0,30,9,1950,27,7,1953,1,0,0,0,22,5,0,4,2,1,1,92,92,20,20,20
51,20,CAN,710,CHN,30,9,1950,1951,27,7,1953,0,0,0,22,5,1,2,15,30,9,1950,27,7,1953,0,0,0,0,22,5,0,30,9,1950,27,7,1953,1,0,0,0,22,5,0,4,2,1,2,457,365,20,20,20
51,20,CAN,710,CHN,30,9,1950,1952,27,7,1953,0,0,0,22,5,1,2,15,30,9,1950,27,7,1953,0,0,0,0,22,5,0,30,9,1950,27,7,1953,1,0,0,0,22,5,0,4,2,1,3,822,365,20,20,20
51,20,CAN,710,CHN,30,9,1950,1953,27,7,1953,5,1,6,22,5,1,2,15,30,9,1950,27,7,1953,0,0,0,4,22,5,0,30,9,1950,27,7,1953,1,0,0,6,22,5,0,4,2,1,4,1030,208,20,20,20
51,20,CAN,731,PRK,29,6,1950,1950,27,7,1953,0,0,0,22,5,1,2,15,29,6,1950,27,7,1953,0,0,0,0,22,5,0,29,6,1950,27,7,1953,1,1,1,0,22,5,1,4,1,1,1,185,185,20,20,20
51,20,CAN,731,PRK,29,6,1950,1951,27,7,1953,0,0,0,22,5,1,2,15,29,6,1950,27,7,1953,0,0,0,0,22,5,0,29,6,1950,27,7,1953,1,1,1,0,22,5,1,4,1,1,2,550,365,20,20,20
51,20,CAN,731,PRK,29,6,1950,1952,27,7,1953,0,0,0,22,5,1,2,15,29,6,1950,27,7,1953,0,0,0,0,22,5,0,29,6,1950,27,7,1953,1,1,1,0,22,5,1,4,1,1,3,915,365,20,20,20
